open,high,low,close,Volume BTC,Volume USDT,sentiment,group,Date,time_idx
9515.0,9530.0,9498.89,9517.63,1350.08,12848088.58,0.275,BTC,2020/2/14 13:00,24502
9497.15,9528.42,9365.21,9515.0,3552.87,33647051.57,0.275,BTC,2020/2/14 12:00,24501
9491.99,9523.83,9477.17,9497.15,1367.19,12995366.89,0.275,BTC,2020/2/14 11:00,24500
9489.63,9502.0,9481.29,9491.99,1111.88,10552755.02,0.275,BTC,2020/2/14 10:00,24499
9504.17,9515.77,9469.63,9489.63,1587.68,15075228.27,0.275,BTC,2020/2/14 09:00,24498
9527.2,9530.0,9491.0,9504.17,1303.59,12394611.03,0.275,BTC,2020/2/14 08:00,24497
9518.04,9540.0,9496.0,9527.2,1549.42,14751181.54,0.14,BTC,2020/2/14 07:00,24496
9493.42,9542.22,9460.0,9518.04,1996.07,18960808.26,0.14,BTC,2020/2/14 06:00,24495
9522.0,9552.91,9400.0,9493.42,2636.46,25026866.98,0.14,BTC,2020/2/14 05:00,24494
9521.0,9551.8,9507.85,9522.0,1486.21,14163933.32,0.14,BTC,2020/2/14 04:00,24493
9508.83,9529.37,9451.0,9521.0,2112.47,20047462.44,0.14,BTC,2020/2/14 03:00,24492
9513.04,9535.0,9490.0,9508.83,1732.33,16483575.5,0.14,BTC,2020/2/14 02:00,24491
9530.71,9540.0,9487.43,9513.04,2233.24,21250036.3,0.1,BTC,2020/2/14 01:00,24490
9478.29,9539.0,9460.0,9530.71,2873.13,27289589.87,0.1,BTC,2020/2/14 00:00,24489
9468.81,9515.24,9424.17,9478.29,5793.05,54852571.68,0.1,BTC,2020/2/13 23:00,24488
9581.47,9600.0,9266.0,9468.81,19661.3,186185468.8,0.1,BTC,2020/2/13 22:00,24487
10155.96,10183.27,9400.0,9581.47,17137.36,166622397.6,0.1,BTC,2020/2/13 21:00,24486
10123.71,10190.0,10122.0,10155.96,3193.47,32446913.55,0.1,BTC,2020/2/13 20:00,24485
10115.56,10136.82,10110.0,10123.71,2584.18,26155134.16,0.1,BTC,2020/2/13 19:00,24484
10141.25,10147.53,10100.0,10115.56,2837.55,28704628.07,0.1,BTC,2020/2/13 18:00,24483
10100.55,10143.0,10096.48,10141.25,2669.67,27017176.32,0.1,BTC,2020/2/13 17:00,24482
10107.48,10128.32,10090.0,10100.55,2507.12,25352042.37,0.1,BTC,2020/2/13 16:00,24481
10118.86,10156.78,10102.0,10107.48,3193.18,32336830.07,0.1,BTC,2020/2/13 15:00,24480
10100.11,10128.94,10090.0,10118.86,2389.64,24156666.16,0.1,BTC,2020/2/13 14:00,24479
10085.55,10134.27,10080.0,10100.11,2959.97,29918904.69,0.1,BTC,2020/2/13 13:00,24478
10093.31,10123.11,10070.11,10085.55,2900.45,29281603.45,0.1,BTC,2020/2/13 12:00,24477
10096.86,10115.08,10070.03,10093.31,2227.99,22488857.29,0.1,BTC,2020/2/13 11:00,24476
10090.76,10105.91,10041.59,10096.86,2970.16,29919965.6,0.1,BTC,2020/2/13 10:00,24475
10125.0,10125.0,10051.0,10090.76,4485.11,45302013.2,0.1,BTC,2020/2/13 09:00,24474
10108.49,10130.5,10058.41,10125.0,7354.4,74278184.13,0.1,BTC,2020/2/13 08:00,24473
10200.77,10228.99,10088.45,10108.49,9036.26,91818607.32,0.1,BTC,2020/2/13 07:00,24472
9739.51,10380.0,9739.51,10200.77,30678.29,309508204.3,0.1,BTC,2020/2/13 06:00,24471
9653.0,9746.83,9652.44,9739.51,4024.16,39046927.65,0.1,BTC,2020/2/13 05:00,24470
9668.71,9700.0,9626.93,9653.0,2704.79,26139685.74,0.1,BTC,2020/2/13 04:00,24469
9572.48,9688.0,9558.57,9668.71,3151.0,30358357.67,0.1,BTC,2020/2/13 03:00,24468
9579.7,9612.76,9561.29,9572.48,1688.5,16189051.4,0.0,BTC,2020/2/13 02:00,24467
9575.29,9587.01,9555.24,9579.7,996.5,9538423.88,0.0,BTC,2020/2/13 01:00,24466
9584.28,9592.59,9563.26,9575.29,1176.98,11272597.95,0.0,BTC,2020/2/13 00:00,24465
9546.98,9610.0,9536.99,9584.28,3086.58,29559800.22,0.0,BTC,2020/2/12 23:00,24464
9563.03,9565.43,9500.0,9546.98,1915.78,18252231.99,0.0,BTC,2020/2/12 22:00,24463
9553.62,9580.72,9547.06,9563.03,1924.37,18404982.66,0.0,BTC,2020/2/12 21:00,24462
9555.01,9571.99,9543.64,9553.62,1266.85,12110808.69,0.1375,BTC,2020/2/12 20:00,24461
9513.22,9590.26,9491.45,9555.01,3042.94,29064040.81,0.1375,BTC,2020/2/12 19:00,24460
9543.24,9552.14,9511.0,9513.22,1424.18,13571042.98,0.1375,BTC,2020/2/12 18:00,24459
9541.21,9550.0,9513.36,9543.24,1575.8,15021657.7,0.1375,BTC,2020/2/12 17:00,24458
9540.3,9561.69,9528.62,9541.21,1441.32,13756029.34,0.1375,BTC,2020/2/12 16:00,24457
9571.47,9581.99,9530.0,9540.3,1599.65,15279583.63,0.1375,BTC,2020/2/12 15:00,24456
9537.66,9584.37,9536.65,9571.47,1831.0,17505835.22,0.1375,BTC,2020/2/12 14:00,24455
9536.88,9561.0,9529.24,9537.66,1508.97,14403405.1,0.1375,BTC,2020/2/12 13:00,24454
9549.02,9566.0,9526.2,9536.88,1411.85,13476298.45,0.1375,BTC,2020/2/12 12:00,24453
9555.79,9619.0,9541.96,9549.02,2787.51,26691829.17,0.1375,BTC,2020/2/12 11:00,24452
9530.67,9571.66,9514.65,9555.79,1620.64,15463309.49,0.1375,BTC,2020/2/12 10:00,24451
9551.58,9568.61,9526.87,9530.67,1984.96,18949291.5,0.1375,BTC,2020/2/12 09:00,24450
9498.31,9570.0,9465.3,9551.58,2064.38,19637784.86,0.1375,BTC,2020/2/12 08:00,24449
9448.27,9508.57,9421.67,9498.31,1742.13,16506416.24,0.1375,BTC,2020/2/12 07:00,24448
9461.6,9485.63,9381.41,9448.27,3408.53,32133905.25,0.1375,BTC,2020/2/12 06:00,24447
9469.35,9524.0,9421.0,9461.6,1999.7,18945454.88,0.1375,BTC,2020/2/12 05:00,24446
9506.6,9506.74,9419.31,9469.35,1882.02,17804722.4,0.1375,BTC,2020/2/12 04:00,24445
9514.74,9525.22,9487.58,9506.6,994.07,9448389.15,0.1375,BTC,2020/2/12 03:00,24444
9501.05,9536.69,9482.44,9514.74,1104.28,10509518.05,0.1375,BTC,2020/2/12 02:00,24443
9503.97,9511.68,9465.24,9501.05,1386.0,13156843.42,0.1375,BTC,2020/2/12 01:00,24442
9531.04,9534.98,9490.54,9503.97,1562.29,14865059.8,0.1375,BTC,2020/2/12 00:00,24441
9480.0,9536.09,9460.0,9531.04,2290.54,21777196.09,0.1375,BTC,2020/2/11 23:00,24440
9471.11,9499.17,9436.96,9480.0,3160.1,29924999.44,0.1775,BTC,2020/2/11 22:00,24439
9547.2,9563.49,9457.0,9471.11,2993.23,28495121.5,0.1775,BTC,2020/2/11 21:00,24438
9576.22,9596.28,9523.0,9547.2,2238.45,21397627.76,0.1775,BTC,2020/2/11 20:00,24437
9588.96,9638.0,9555.0,9576.22,2665.22,25563287.42,0.1775,BTC,2020/2/11 19:00,24436
9599.2,9601.16,9564.91,9588.96,1521.51,14578968.29,0.1775,BTC,2020/2/11 18:00,24435
9561.24,9605.69,9546.98,9599.2,1935.08,18530642.69,0.1775,BTC,2020/2/11 17:00,24434
9539.17,9568.77,9500.0,9561.24,1931.56,18430964.24,0.1775,BTC,2020/2/11 16:00,24433
9565.13,9582.75,9525.0,9539.17,1691.18,16152880.58,0.1775,BTC,2020/2/11 15:00,24432
9549.63,9589.31,9520.7,9565.13,1591.17,15226632.88,0.1775,BTC,2020/2/11 14:00,24431
9570.94,9582.31,9545.0,9549.63,1297.14,12406383.15,0.1775,BTC,2020/2/11 13:00,24430
9555.84,9613.65,9551.61,9570.94,1836.87,17598127.69,0.1775,BTC,2020/2/11 12:00,24429
9576.79,9600.0,9516.38,9555.84,2406.19,23003951.93,0.1775,BTC,2020/2/11 11:00,24428
9640.76,9656.0,9552.92,9576.79,2986.49,28700278.29,0.1775,BTC,2020/2/11 10:00,24427
9657.2,9657.21,9612.0,9640.76,1777.42,17125977.06,0.1775,BTC,2020/2/11 09:00,24426
9656.67,9678.75,9631.4,9657.2,1759.46,16985972.82,0.1775,BTC,2020/2/11 08:00,24425
9697.72,9700.0,9635.84,9656.67,1915.27,18509394.07,0.1775,BTC,2020/2/11 07:00,24424
9729.0,9740.0,9636.96,9697.72,3349.14,32460436.88,0.1775,BTC,2020/2/11 06:00,24423
9491.41,9730.0,9470.07,9729.0,7362.24,70927923.84,0.1775,BTC,2020/2/11 05:00,24422
9440.61,9500.0,9432.07,9491.41,1410.22,13336518.86,0.1775,BTC,2020/2/11 04:00,24421
9535.14,9540.0,9400.0,9440.61,3876.79,36662062.67,0.1775,BTC,2020/2/11 03:00,24420
9530.0,9542.74,9515.0,9535.14,975.92,9300963.16,0.1775,BTC,2020/2/11 02:00,24419
9523.82,9545.96,9515.0,9530.0,1214.86,11580602.5,0.1775,BTC,2020/2/11 01:00,24418
9539.49,9545.0,9515.0,9523.82,1308.79,12469157.18,0.1775,BTC,2020/2/11 00:00,24417
9540.6,9554.98,9512.04,9539.49,1615.0,15401361.71,0.1775,BTC,2020/2/10 23:00,24416
9546.77,9549.57,9495.0,9540.6,2145.06,20415310.08,0.1775,BTC,2020/2/10 22:00,24415
9563.79,9570.0,9536.6,9546.77,2777.83,26535704.62,0.1775,BTC,2020/2/10 21:00,24414
9544.52,9566.0,9521.0,9563.79,1548.88,14780886.77,0.1775,BTC,2020/2/10 20:00,24413
9554.17,9557.44,9509.3,9544.52,1680.73,16023102.57,0.1775,BTC,2020/2/10 19:00,24412
9527.61,9583.0,9523.78,9554.17,2541.25,24279111.68,0.1775,BTC,2020/2/10 18:00,24411
9498.03,9533.3,9490.0,9527.61,1361.22,12952576.68,0.1775,BTC,2020/2/10 17:00,24410
9533.36,9543.19,9459.93,9498.03,2570.02,24412477.09,0.1775,BTC,2020/2/10 16:00,24409
9528.69,9559.87,9527.61,9533.36,1688.84,16119769.07,0.1775,BTC,2020/2/10 15:00,24408
9550.51,9566.35,9522.0,9528.69,2364.98,22572408.96,0.1775,BTC,2020/2/10 14:00,24407
9558.9,9600.0,9539.89,9550.51,3202.48,30639421.25,0.1775,BTC,2020/2/10 13:00,24406
9515.36,9566.66,9506.24,9558.9,2382.55,22711831.14,0.1775,BTC,2020/2/10 12:00,24405
